line_num,tokens,token_ids
1,"<BOS> ānogar ziry aōhaeot se hēdrȳ jaelagon issi . henujagon hen pryjari , issi se hēdrȳ henujagon se daenarī , arlūni issi se hēdrȳ henujagon se ryndāro . pryjari se ābrar issi se lēkia īlōnagon iā pōnta tolī . daenarī se ondor issi se glaesagon jemēle iderēbza issa . ryndāro se belma issi se hūnagon jorrāelagon se tolī henujagon daor . <EOS>",2 147 32 179 4 19 45 12 5 9 24 39 7 12 4 19 9 4 70 7 114 12 4 19 9 4 68 5 39 4 88 12 4 111 133 163 53 145 5 70 4 105 12 4 158 21 35 10 5 68 4 69 12 4 184 22 4 145 9 155 5 3
2,"<BOS> henujagon jaelagon , pryjari se qilōni se ossēnagon jorrāelagon henujagon tolvī . daenarī se dōre issi se gūrēbzi jemēle iderēbza issa , se hēdrȳ se dōre jorrāelagon se ossēnagon pōnta . ryndāro se hae issi se gūrēbzi jorrāelagon se ossēnagon jemēle henujagon qilōni . <EOS>",2 9 45 7 39 4 54 4 96 22 9 171 5 70 4 71 12 4 100 21 35 10 7 4 19 4 71 22 4 96 53 5 68 4 138 12 4 100 22 4 96 21 9 54 5 3
3,"<BOS> onogār jaelagon , pryjari se henujagon se glēdrī issi se hēdrȳ henujagon se glȳrzi . daenarī se rijā issi se zūgagon jorrāelagon se glēdrī henujagon pōnta . ryndāro se ondor issi se glēdrī jorrāelagon se zūgagon henujagon glaes . <EOS>",2 168 45 7 39 4 9 4 67 12 4 19 9 4 159 5 70 4 170 12 4 60 22 4 67 9 53 5 68 4 105 12 4 67 22 4 60 9 47 5 3
4,"<BOS> henujagon se jaelagon , hēdrȳ pryjari se tepagon issi se hēdrȳ henujagon se zaldrīzi . daenarī se pār issi se se hēdrȳ henujagon se tepagon pōnta . ryndāro se sīr issi se henujagon se tepagon jorrāelagon se pōnta . <EOS>",2 9 4 45 7 19 39 4 74 12 4 19 9 4 79 5 70 4 142 12 4 4 19 9 4 74 53 5 68 4 77 12 4 9 4 74 22 4 53 5 3
5,"<BOS> ānogar jaelagon , henujagon pryjari se dārī issi se hēdrȳ henujagon se vējose . daenarī se rūjagon issi se hēdrȳ henujagon se dārī pōnta . ryndāro se qilōni issi se hēdrȳ henujagon se dārī jorrāelagon se pōnta . <EOS>",2 147 45 7 9 39 4 98 12 4 19 9 4 44 5 70 4 91 12 4 19 9 4 98 53 5 68 4 54 12 4 19 9 4 98 22 4 53 5 3
6,<BOS> sīr issi belma jaelagon henujagon pryjari se ābrar issi se hēdrȳ henujagon se zaldrīzi . daenarī se se hēdrȳ henujagon se zaldrīzi pōnta . ryndāro se henujagon se zaldrīzi jorrāelagon se pōnta . <EOS>,2 77 12 69 45 9 39 4 88 12 4 19 9 4 79 5 70 4 4 19 9 4 79 53 5 68 4 9 4 79 22 4 53 5 3
7,"<BOS> ȳdragon issi se belma jaelagon , pryjari se henujagon se tepagon issi se hēdrȳ henujagon se vējose . daenarī se hēdrȳ henujagon se vējose pōnta . ryndāro se henujagon se vējose jorrāelagon se pōnta . <EOS>",2 108 12 4 69 45 7 39 4 9 4 74 12 4 19 9 4 44 5 70 4 19 9 4 44 53 5 68 4 9 4 44 22 4 53 5 3
8,"<BOS> morghot īlōnagon se hen pryjari , se daenarī , se ryndāro . kesan issi belma henujagon ȳdragon se zaldrīzi , se henujagon gūrēbzi , se henujagon glēdrī . henujagon pōnta jaelagon drējagon , se ēlī henujagon āeksi , se se hēdrȳ henujagon kirimvose . <EOS>",2 84 133 4 24 39 7 4 70 7 4 68 5 140 12 69 9 108 4 79 7 4 9 100 7 4 9 67 5 9 53 45 62 7 4 16 9 146 7 4 4 19 9 49 5 3
9,"<BOS> mellyni jaelagon se hēdrȳ issi se pyghor pōnta . henujagon hen valyria , se hēdrȳ hen iā mirre . ziry issi hen ondor , issi hen vējose , issi hen glēdrī . <EOS>",2 259 45 4 19 12 4 87 53 5 9 24 107 7 4 19 24 163 192 5 32 12 24 105 7 12 24 44 7 12 24 67 5 3
10,"<BOS> valyrīha se glaesagon issi hen zaldrīzir , se hēdrȳ se rūjagon jorrāelagon se pōnta . pryjari issi hen hēdrȳ henujagon se glēdrī , se hēdrȳ se pār jorrāelagon se zaldrīzir . drējagon issi se hēdrȳ henujagon se zaldrīzir jorrāelagon se glēdrī . <EOS>",2 279 4 158 12 24 30 7 4 19 4 91 22 4 53 5 39 12 24 19 9 4 67 7 4 19 4 142 22 4 30 5 62 12 4 19 9 4 30 22 4 67 5 3
